Date_key,Day,Day_of_week,Month,Year,Week_of_month,Week_of_year,Full_date
341,7,7,12,2013,1,49,2013-12-07
342,8,1,12,2013,2,50,2013-12-08
343,9,2,12,2013,2,50,2013-12-09
344,10,3,12,2013,2,50,2013-12-10
345,11,4,12,2013,2,50,2013-12-11
346,12,5,12,2013,2,50,2013-12-12
347,13,6,12,2013,2,50,2013-12-13
348,14,7,12,2013,2,50,2013-12-14
349,15,1,12,2013,3,51,2013-12-15
350,16,2,12,2013,3,51,2013-12-16
351,17,3,12,2013,3,51,2013-12-17
352,18,4,12,2013,3,51,2013-12-18
353,19,5,12,2013,3,51,2013-12-19
354,20,6,12,2013,3,51,2013-12-20
355,21,7,12,2013,3,51,2013-12-21
356,22,1,12,2013,4,52,2013-12-22
357,23,2,12,2013,4,52,2013-12-23
358,24,3,12,2013,4,52,2013-12-24
359,25,4,12,2013,4,52,2013-12-25
360,26,5,12,2013,4,52,2013-12-26
361,27,6,12,2013,4,52,2013-12-27
362,28,7,12,2013,4,52,2013-12-28
363,29,1,12,2013,5,1,2013-12-29
364,30,2,12,2013,5,1,2013-12-30
365,31,3,12,2013,5,1,2013-12-31
366,1,4,1,2014,1,1,2014-01-01
367,2,5,1,2014,1,1,2014-01-02
368,3,6,1,2014,1,1,2014-01-03
369,4,7,1,2014,1,1,2014-01-04
370,5,1,1,2014,2,2,2014-01-05
371,6,2,1,2014,2,2,2014-01-06
372,7,3,1,2014,2,2,2014-01-07
373,8,4,1,2014,2,2,2014-01-08
374,9,5,1,2014,2,2,2014-01-09
375,10,6,1,2014,2,2,2014-01-10
376,11,7,1,2014,2,2,2014-01-11
377,12,1,1,2014,3,3,2014-01-12
378,13,2,1,2014,3,3,2014-01-13
379,14,3,1,2014,3,3,2014-01-14
380,15,4,1,2014,3,3,2014-01-15
381,16,5,1,2014,3,3,2014-01-16
382,17,6,1,2014,3,3,2014-01-17
383,18,7,1,2014,3,3,2014-01-18
384,19,1,1,2014,4,4,2014-01-19
385,20,2,1,2014,4,4,2014-01-20
386,21,3,1,2014,4,4,2014-01-21
387,22,4,1,2014,4,4,2014-01-22
388,23,5,1,2014,4,4,2014-01-23
389,24,6,1,2014,4,4,2014-01-24
390,25,7,1,2014,4,4,2014-01-25
391,26,1,1,2014,5,5,2014-01-26
392,27,2,1,2014,5,5,2014-01-27
393,28,3,1,2014,5,5,2014-01-28
394,29,4,1,2014,5,5,2014-01-29
395,30,5,1,2014,5,5,2014-01-30
396,31,6,1,2014,5,5,2014-01-31
397,1,7,2,2014,1,5,2014-02-01
398,2,1,2,2014,2,6,2014-02-02
399,3,2,2,2014,2,6,2014-02-03
400,4,3,2,2014,2,6,2014-02-04
401,5,4,2,2014,2,6,2014-02-05
402,6,5,2,2014,2,6,2014-02-06
403,7,6,2,2014,2,6,2014-02-07
404,8,7,2,2014,2,6,2014-02-08
405,9,1,2,2014,3,7,2014-02-09
406,10,2,2,2014,3,7,2014-02-10
407,11,3,2,2014,3,7,2014-02-11
408,12,4,2,2014,3,7,2014-02-12
409,13,5,2,2014,3,7,2014-02-13
410,14,6,2,2014,3,7,2014-02-14
411,15,7,2,2014,3,7,2014-02-15
412,16,1,2,2014,4,8,2014-02-16
413,17,2,2,2014,4,8,2014-02-17
414,18,3,2,2014,4,8,2014-02-18
415,19,4,2,2014,4,8,2014-02-19
416,20,5,2,2014,4,8,2014-02-20
417,21,6,2,2014,4,8,2014-02-21
418,22,7,2,2014,4,8,2014-02-22
419,23,1,2,2014,5,9,2014-02-23
420,24,2,2,2014,5,9,2014-02-24
421,25,3,2,2014,5,9,2014-02-25
422,26,4,2,2014,5,9,2014-02-26
423,27,5,2,2014,5,9,2014-02-27
424,28,6,2,2014,5,9,2014-02-28
425,1,7,3,2014,1,9,2014-03-01
426,2,1,3,2014,2,10,2014-03-02
427,3,2,3,2014,2,10,2014-03-03
428,4,3,3,2014,2,10,2014-03-04
429,5,4,3,2014,2,10,2014-03-05
430,6,5,3,2014,2,10,2014-03-06
431,7,6,3,2014,2,10,2014-03-07
432,8,7,3,2014,2,10,2014-03-08
433,9,1,3,2014,3,11,2014-03-09
434,10,2,3,2014,3,11,2014-03-10
435,11,3,3,2014,3,11,2014-03-11
436,12,4,3,2014,3,11,2014-03-12
437,13,5,3,2014,3,11,2014-03-13
438,14,6,3,2014,3,11,2014-03-14
439,15,7,3,2014,3,11,2014-03-15
440,16,1,3,2014,4,12,2014-03-16
441,17,2,3,2014,4,12,2014-03-17
442,18,3,3,2014,4,12,2014-03-18
443,19,4,3,2014,4,12,2014-03-19
444,20,5,3,2014,4,12,2014-03-20
445,21,6,3,2014,4,12,2014-03-21
446,22,7,3,2014,4,12,2014-03-22
447,23,1,3,2014,5,13,2014-03-23
448,24,2,3,2014,5,13,2014-03-24
449,25,3,3,2014,5,13,2014-03-25
450,26,4,3,2014,5,13,2014-03-26
451,27,5,3,2014,5,13,2014-03-27
452,28,6,3,2014,5,13,2014-03-28
453,29,7,3,2014,5,13,2014-03-29
454,30,1,3,2014,6,14,2014-03-30
455,31,2,3,2014,6,14,2014-03-31
456,1,3,4,2014,1,14,2014-04-01
457,2,4,4,2014,1,14,2014-04-02
458,3,5,4,2014,1,14,2014-04-03
459,4,6,4,2014,1,14,2014-04-04
460,5,7,4,2014,1,14,2014-04-05
461,6,1,4,2014,2,15,2014-04-06
462,7,2,4,2014,2,15,2014-04-07
463,8,3,4,2014,2,15,2014-04-08
464,9,4,4,2014,2,15,2014-04-09
465,10,5,4,2014,2,15,2014-04-10
466,11,6,4,2014,2,15,2014-04-11
467,12,7,4,2014,2,15,2014-04-12
468,13,1,4,2014,3,16,2014-04-13
469,14,2,4,2014,3,16,2014-04-14
470,15,3,4,2014,3,16,2014-04-15
471,16,4,4,2014,3,16,2014-04-16
472,17,5,4,2014,3,16,2014-04-17
473,18,6,4,2014,3,16,2014-04-18
474,19,7,4,2014,3,16,2014-04-19
475,20,1,4,2014,4,17,2014-04-20
476,21,2,4,2014,4,17,2014-04-21
477,22,3,4,2014,4,17,2014-04-22
478,23,4,4,2014,4,17,2014-04-23
479,24,5,4,2014,4,17,2014-04-24
480,25,6,4,2014,4,17,2014-04-25
481,26,7,4,2014,4,17,2014-04-26
482,27,1,4,2014,5,18,2014-04-27
483,28,2,4,2014,5,18,2014-04-28
484,29,3,4,2014,5,18,2014-04-29
485,30,4,4,2014,5,18,2014-04-30
486,1,5,5,2014,1,18,2014-05-01
487,2,6,5,2014,1,18,2014-05-02
488,3,7,5,2014,1,18,2014-05-03
489,4,1,5,2014,2,19,2014-05-04
490,5,2,5,2014,2,19,2014-05-05
491,6,3,5,2014,2,19,2014-05-06
492,7,4,5,2014,2,19,2014-05-07
493,8,5,5,2014,2,19,2014-05-08
494,9,6,5,2014,2,19,2014-05-09
495,10,7,5,2014,2,19,2014-05-10
496,11,1,5,2014,3,20,2014-05-11
497,12,2,5,2014,3,20,2014-05-12
498,13,3,5,2014,3,20,2014-05-13
499,14,4,5,2014,3,20,2014-05-14
500,15,5,5,2014,3,20,2014-05-15
501,16,6,5,2014,3,20,2014-05-16
502,17,7,5,2014,3,20,2014-05-17
503,18,1,5,2014,4,21,2014-05-18
504,19,2,5,2014,4,21,2014-05-19
505,20,3,5,2014,4,21,2014-05-20
506,21,4,5,2014,4,21,2014-05-21
507,22,5,5,2014,4,21,2014-05-22
508,23,6,5,2014,4,21,2014-05-23
509,24,7,5,2014,4,21,2014-05-24
510,25,1,5,2014,5,22,2014-05-25
511,26,2,5,2014,5,22,2014-05-26
512,27,3,5,2014,5,22,2014-05-27
513,28,4,5,2014,5,22,2014-05-28
514,29,5,5,2014,5,22,2014-05-29
515,30,6,5,2014,5,22,2014-05-30
516,31,7,5,2014,5,22,2014-05-31
517,1,1,6,2014,1,23,2014-06-01
518,2,2,6,2014,1,23,2014-06-02
519,3,3,6,2014,1,23,2014-06-03
520,4,4,6,2014,1,23,2014-06-04
521,5,5,6,2014,1,23,2014-06-05
522,6,6,6,2014,1,23,2014-06-06
523,7,7,6,2014,1,23,2014-06-07
524,8,1,6,2014,2,24,2014-06-08
525,9,2,6,2014,2,24,2014-06-09
526,10,3,6,2014,2,24,2014-06-10
527,11,4,6,2014,2,24,2014-06-11
528,12,5,6,2014,2,24,2014-06-12
529,13,6,6,2014,2,24,2014-06-13
530,14,7,6,2014,2,24,2014-06-14
